AirportID_AirportName,Total_Incidents,Collision_Count,Collision_Rate
RIVIÈRE-DU-LOUP,14,0.0,0.0
Oshawa Executive,42,0.0,0.0
Orillia,15,0.0,0.0
Cincinnati/Northern Kentucky International,10,0.0,0.0
OLDS-DIDSBURY,20,0.0,0.0
MANIWAKI,13,0.0,0.0
MARKHAM,11,0.0,0.0
MASCOUCHE,45,0.0,0.0
MIDLAND/HURONIA,16,0.0,0.0
MONT-JOLI,32,0.0,0.0
MONT-LAURIER,13,0.0,0.0
MOOSONEE,19,0.0,0.0
MUSKOKA,21,0.0,0.0
Minneapolis-St. Paul Intl/Wold-Chamberlain,12,0.0,0.0
CU NIM,10,0.0,0.0
NEUVILLE,10,0.0,0.0
NORTH BATTLEFORD,12,0.0,0.0
NORWAY HOUSE,10,0.0,0.0
COCHRANE,10,0.0,0.0
Niagara Central Dorothy Rungeling,10,0.0,0.0
Norman Wells,30,0.0,0.0
OKOTOKS AIR PARK,10,0.0,0.0
(CAMPBELL ISLAND),24,0.0,0.0
